YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,21,3,DL,13487,"Minneapolis, MN",10397,"Atlanta, GA",905,1241,0,0,0,907
2015,1,21,3,DL,10397,"Atlanta, GA",11292,"Denver, CO",820,949,8,0,0,1199
2015,1,21,3,DL,11292,"Denver, CO",10397,"Atlanta, GA",1045,1535,9,0,0,1199
2015,1,21,3,DL,10397,"Atlanta, GA",11292,"Denver, CO",1340,1507,30,1,0,1199
2015,1,21,3,DL,10397,"Atlanta, GA",13204,"Orlando, FL",655,821,0,0,0,404
2015,1,21,3,DL,13204,"Orlando, FL",10397,"Atlanta, GA",930,1104,0,0,0,404
2015,1,21,3,DL,12953,"New York, NY",13487,"Minneapolis, MN",1433,1650,0,0,0,1020
2015,1,21,3,DL,13487,"Minneapolis, MN",10713,"Boise, ID",2138,2353,0,0,0,1142
2015,1,21,3,DL,11433,"Detroit, MI",10721,"Boston, MA",2140,2334,25,1,0,632
2015,1,21,3,DL,14869,"Salt Lake City, UT",11278,"Washington, DC",940,1544,6,0,0,1851
2015,1,21,3,DL,10821,"Baltimore, MD",10397,"Atlanta, GA",845,1052,0,0,0,577
2015,1,21,3,DL,11697,"Fort Lauderdale, FL",10397,"Atlanta, GA",1545,1745,0,0,0,581
2015,1,21,3,DL,10397,"Atlanta, GA",11697,"Fort Lauderdale, FL",1100,1255,0,0,0,581
2015,1,21,3,DL,11697,"Fort Lauderdale, FL",10397,"Atlanta, GA",1345,1548,0,0,0,581
2015,1,21,3,DL,10397,"Atlanta, GA",14685,"Savannah, GA",835,937,0,0,0,214
2015,1,21,3,DL,14685,"Savannah, GA",10397,"Atlanta, GA",1017,1130,0,0,0,214
2015,1,21,3,DL,11433,"Detroit, MI",13303,"Miami, FL",735,1050,0,0,0,1145
2015,1,21,3,DL,14869,"Salt Lake City, UT",12478,"New York, NY",1720,2343,0,0,0,1990
2015,1,21,3,DL,14057,"Portland, OR",14869,"Salt Lake City, UT",600,846,0,0,0,630
2015,1,21,3,DL,10397,"Atlanta, GA",14193,"Pensacola, FL",1500,1517,0,0,0,271
2015,1,21,3,DL,14193,"Pensacola, FL",10397,"Atlanta, GA",1557,1819,0,0,0,271
2015,1,21,3,DL,15376,"Tucson, AZ",10397,"Atlanta, GA",715,1238,0,0,0,1541
2015,1,21,3,DL,10397,"Atlanta, GA",15016,"St. Louis, MO",1702,1746,0,0,0,484
2015,1,21,3,DL,15016,"St. Louis, MO",10397,"Atlanta, GA",1826,2102,0,0,0,484
2015,1,21,3,DL,10397,"Atlanta, GA",14869,"Salt Lake City, UT",2145,1,0,0,0,1590
2015,1,21,3,DL,10994,"Charleston, SC",10397,"Atlanta, GA",720,839,0,0,0,259
2015,1,21,3,DL,10397,"Atlanta, GA",10423,"Austin, TX",2152,2329,0,0,0,813
2015,1,21,3,DL,10397,"Atlanta, GA",11278,"Washington, DC",1720,1900,1,0,0,547
2015,1,21,3,DL,11278,"Washington, DC",10397,"Atlanta, GA",1500,1702,0,0,0,547
2015,1,21,3,DL,12982,"Lihue, HI",12892,"Los Angeles, CA",2256,625,0,0,0,2615
2015,1,21,3,DL,10397,"Atlanta, GA",15096,"Syracuse, NY",1500,1710,0,0,0,794
2015,1,21,3,DL,15096,"Syracuse, NY",10397,"Atlanta, GA",1746,2024,0,0,0,794
2015,1,21,3,DL,11986,"Grand Rapids, MI",13487,"Minneapolis, MN",720,810,5,0,0,408
2015,1,21,3,DL,14869,"Salt Lake City, UT",10721,"Boston, MA",1720,2346,0,0,0,2105
2015,1,21,3,DL,14570,"Reno, NV",14869,"Salt Lake City, UT",1735,1957,0,0,0,422
2015,1,21,3,DL,11433,"Detroit, MI",12892,"Los Angeles, CA",1948,2205,0,0,0,1979
2015,1,21,3,DL,11433,"Detroit, MI",14747,"Seattle, WA",1206,1416,0,0,0,1927
2015,1,21,3,DL,14747,"Seattle, WA",10299,"Anchorage, AK",1500,1735,0,0,0,1448
2015,1,21,3,DL,11433,"Detroit, MI",12953,"New York, NY",728,930,0,0,0,502
2015,1,21,3,DL,10721,"Boston, MA",12478,"New York, NY",855,1016,0,0,0,187
2015,1,21,3,DL,10397,"Atlanta, GA",13485,"Madison, WI",1905,2014,0,0,0,707
2015,1,21,3,DL,13487,"Minneapolis, MN",12889,"Las Vegas, NV",657,838,5,0,0,1299
2015,1,21,3,DL,13495,"New Orleans, LA",12953,"New York, NY",625,1012,0,0,0,1183
2015,1,21,3,DL,13485,"Madison, WI",10397,"Atlanta, GA",600,908,5,0,0,707
2015,1,21,3,DL,10397,"Atlanta, GA",12264,"Washington, DC",1900,2048,0,0,0,534
2015,1,21,3,DL,12953,"New York, NY",13303,"Miami, FL",1515,1853,0,0,0,1096
2015,1,21,3,DL,10397,"Atlanta, GA",13360,"Melbourne, FL",908,1036,0,0,0,442
2015,1,21,3,DL,13360,"Melbourne, FL",10397,"Atlanta, GA",1116,1255,0,0,0,442
2015,1,21,3,DL,14747,"Seattle, WA",14869,"Salt Lake City, UT",1023,1315,0,0,0,689
2015,1,21,3,DL,14869,"Salt Lake City, UT",14747,"Seattle, WA",811,933,0,0,0,689
2015,1,21,3,DL,10397,"Atlanta, GA",10423,"Austin, TX",958,1139,0,0,0,813
2015,1,21,3,DL,10423,"Austin, TX",10397,"Atlanta, GA",1224,1529,0,0,0,813
2015,1,21,3,DL,14771,"San Francisco, CA",12478,"New York, NY",630,1454,0,0,0,2586
2015,1,21,3,DL,10397,"Atlanta, GA",13303,"Miami, FL",1500,1655,0,0,0,594
2015,1,21,3,DL,13303,"Miami, FL",10397,"Atlanta, GA",1745,1951,0,0,0,594
2015,1,21,3,DL,10397,"Atlanta, GA",12992,"Little Rock, AR",1420,1503,0,0,0,453
